"filename", "language", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\bldcubes.html", "HTML", 31, 0, 0, 0, 1, 32
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\corners.html", "HTML", 0, 0, 0, 0, 1, 1
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\cubes.css", "CSS", 0, 0, 72, 0, 4, 76
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\footer.css", "CSS", 0, 0, 2, 0, -1, 1
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\global.css", "CSS", 0, 0, 1, 0, -11, -10
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\help.css", "CSS", 0, 0, -2, 0, -2, -4
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\login.css", "CSS", 0, 0, 5, 0, 1, 6
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\maingrid.css", "CSS", 0, 0, 0, 0, -2, -2
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\presets.css", "CSS", 0, 0, 14, 0, -2, 12
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\resources.css", "CSS", 0, 0, 8, 0, 2, 10
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\sets.css", "CSS", 0, 0, -29, -1, -11, -41
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\settings.css", "CSS", 0, 0, 27, 0, 3, 30
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\style.css", "CSS", 0, 0, -1, 0, -5, -6
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\tops-main.css", "CSS", 0, 0, 3, 0, 0, 3
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\tops-pt.css", "CSS", 0, 0, 3, -59, -1, -57
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\tops-side.css", "CSS", 0, 0, 2, 0, 0, 2
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\training.css", "CSS", 0, 0, -1, 0, -1, -2
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\edges.html", "HTML", 3, 0, 0, 0, 2, 5
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\flips.html", "HTML", 3, 0, 0, 0, 0, 3
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\help.html", "HTML", 13, 0, 0, 0, 0, 13
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\ltct.html", "HTML", 3, 0, 0, 0, 1, 4
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\midges.html", "HTML", 3, 0, 0, 0, 0, 3
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\parity.html", "HTML", 2, 0, 0, 0, 0, 2
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\pluscenters.html", "HTML", 3, 0, 0, 0, 1, 4
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\resources.html", "HTML", 6, 0, 0, 0, 1, 7
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\script.js", "JavaScript", 0, -1, 0, 0, -5, -6
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\terms.html", "HTML", 0, 0, 0, 0, 2, 2
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\twists.html", "HTML", 3, 0, 0, 0, 1, 4
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\wings.html", "HTML", 3, 0, 0, 0, 1, 4
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\words.html", "HTML", -1, 0, 0, 0, 0, -1
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\xcenters.html", "HTML", 3, 0, 0, 0, 0, 3
"Total", "-", 75, -1, 104, -60, -20, 98